nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Cernay (Haut-Rhin);182410;68700;421687;364274;351266;400877;372890;391782;396767;419394
Cesson-Sévigné;334490;35510;166593;107038;97045;145459;119278;117985;124095;129342
Chambly;276725;60230;681255;555890;461738;674357;622939;716218;703547;650655
Chamborigaud;775221;30530;6915;5833;4899;6555;4313;5158;5442;5384
Champ de Mars Tour Eiffel;393058;75015;6564413;2516159;1472021;7947231;8715423;9575471;10321323;11088743
Champagnole;715326;39300;55022;46373;36540;35922;28993;33993;29142;27213
Champbenoist - Poigny;115873;77160;182176;144147;105983;220552;215765;211940;204274;196027
Château-Arnoux-Saint-Auban;751230;4160;20550;11083;7155;18133;31432;40836;38741;39276
Châteaubriant Tram Train;590372;44110;110070;72910;56599;100608;98200;105333;100208;103290
Châteaulin;474064;29150;55668;36172;20984;32682;26892;15531;28101;39666
Châtelaillon-Plage;485110;17340;123934;88489;56464;85288;68306;87581;78511;81090
Chaugey;712679;21170;13134;9623;10429;9833;9327;15049;13434;14777
Chaulnes;313478;80320;116268;96116;66093;85930;81548;92924;92898;96724
Chazay - Marcilly;721415;69380;20138;16123;12148;17133;13054;17384;15361;13632
Chemilly - Appoigny;683532;89250;1471;627;1286;4728;1835;1913;1564;2542
Chenevières;141382;54122;1502;1574;2163;2096;2221;3028;3185;2659
Chèvremont;184259;90340;0;0;0;0;0;467;792;1111
Chirac;783290;48100;72;20;59;22;15;25;15;87
Clacy - Mons;296178;2000;1063;733;997;408;48;120;436;769
Clamecy;696807;58500;37889;21382;17143;27041;21852;24943;23797;25616
Clermont La Pardieu;782607;63000;280491;222476;198483;261412;248038;306582;289709;308942
Clermont-en-Argonne;175737;55120;22;32;91;116;28;378;309;197
Cloyes-sur-le-Loir;574509;28220;19900;15729;11071;14659;11289;11580;12263;14041
Cluses;746370;74300;551956;436600;381748;488615;445404;464060;419989;415968
Coarraze - Nay;672139;64800;59827;39721;26993;33712;23642;31709;31169;31465
Coignières;393272;78310;386452;358287;226641;466909;498229;527712;546690;565792
Commentry;641415;3600;101419;93256;92822;128926;135685;149476;152911;170189
Conflans - Jarny;192666;54800;125935;92548;72011;110786;105949;117396;120952;135639
Contrexéville;144287;88140;33195;24991;18447;25390;26665;30915;37162;43759
Corbie;313056;80800;361868;309580;273972;362926;347950;350076;351568;364008
Cordemais;481820;44360;41457;27477;21478;36473;31510;29016;28563;29540
Cramoisy;313544;60660;3434;2135;1531;2906;4447;3834;3935;2273
Crécy-la-Chapelle;116772;77580;157761;197337;84779;190995;187867;185303;179177;172569
Crépieux la Pape;723502;69140;33242;18486;5478;9378;6463;7130;6194;7511
Crest;761783;26400;95904;53630;52330;75386;58015;59650;57212;56260
Dambach-la-Ville;214213;67650;36166;32630;29978;39069;29842;33397;37955;36828
Damblain;142497;88320;270;186;41;261;406;601;581;579
Dangé-Saint-Romain;575126;86220;29629;22872;18885;20056;12949;11270;13323;14147
Danjoutin;700146;90400;1742;1007;948;1924;87;0;0;0
Daours;315044;80800;31621;28044;27157;31699;26769;28859;28036;26913
Dax;673202;40100;1175632;967004;635982;931979;864607;930600;874024;897314
Deuil - Montmagny;276345;95170;2982566;2557225;891849;3089529;3127940;3147953;3255886;3351403
Deûlémont;287185;59890;417;396;147;316;332;390;574;894
Diarville;141648;54930;844;586;1373;1911;2234;1745;1284;2125
Die;761841;26150;67564;42652;40656;57018;48372;54460;54047;52579
Diemeringen;215665;67430;130647;106083;82982;99722;104237;109674;100927;104021
Dieupentale;611681;82170;121534;100828;84194;92083;78002;104385;99469;97030
Dol-de-Bretagne;478073;35120;543868;384796;295448;427379;380495;404127;379307;394141
Dole;713412;39100;981528;758029;654765;839249;792855;856029;809789;803036
Don - Sainghin;286435;59272;149938;110511;122592;223793;219480;236725;229474;235004
Dorlisheim;214338;67120;93874;78750;71117;111005;110311;107814;94877;89146
Dormans;171512;51700;130444;103970;95970;129483;112898;110303;107441;112969
Dourdan;545525;91410;786264;699773;335576;951888;930666;917332;890369;866000
Douzillac;595280;24190;0;0;0;0;0;515;1425;1234
Ebblinghem;281469;59173;13896;11304;12028;28572;27692;24707;24212;26163
Enghien-les-Bains;276022;95880;7014246;6111149;3316445;7568159;7711048;7760343;7684943;7574604
Épanvilliers;575357;86510;1450;1428;770;740;609;590;773;1149
Épernay;171553;51200;835958;592899;479008;781974;702727;772462;736596;779960
Épône - Mézières;386763;78680;1243300;926054;430031;1023974;1107734;1205405;1293560;1388532
Éragny - Neuville;381418;95610;783828;742307;439717;978365;901785;833310;755133;746705
Escaudœuvres;345496;59161;804;531;143;32;134;161;263;49
Esquelbecq;281113;59470;149425;116349;111606;146409;126270;122084;110199;104612
Étain;175794;55400;111302;96619;88396;88957;68545;71927;68243;74519
Étampes;545137;91150;2602664;2449541;1469370;3150915;3096908;3057162;2957089;2848779
Eu;317537;76260;33338;27102;21903;19477;23158;31177;32507;37137
Évreux Normandie;387001;27000;1122584;787499;693195;1129373;1089292;1162631;1107913;1139477
Farébersviller;193516;57450;1340;687;930;2505;2646;3296;3169;3275
Fellering;182626;68470;19737;22995;23468;25221;24528;26713;29281;27050
Feuquerolles;316752;80190;0;0;0;10;238;397;547;574
Figeac;613091;46100;161366;118881;90222;99922;137170;167319;160735;163436
Fleurieux-sur-l'Arbresle;721563;69210;130705;105568;87204;135482;121917;115642;93970;86131
Fos-sur-Mer;753442;13270;8812;5444;2941;7260;7327;10945;9978;11643
Foug;141036;54570;8384;6388;6301;7974;7761;9859;10024;10217
Fougeré;486316;85480;1808;1363;1890;2420;2123;1590;2389;3164
Fouilloy;313841;60220;4942;2151;1692;1747;1394;1277;1231;478
Franconville - Le Plessis-Bouchard;276071;95130;5203210;4930658;3109665;5875083;5952225;5831267;5722193;5593007
Frasne;715136;25560;256586;171951;133728;208176;154920;172159;167460;166428
Frénouville - Cagny;444182;14630;14144;9513;9392;19546;15018;15249;13308;10752
Fresnoy-le-Grand;296293;2230;26363;20237;14289;22961;19992;23812;22091;17913
Fréteval - Morée;574533;41160;4261;3856;2479;3872;3447;3635;4175;3792
Fretin;286641;59273;66985;59194;53815;92078;85673;95226;84236;87880
Froncles;142240;52320;46809;44133;37461;36457;33271;34600;32376;33672
Frontenex;741629;73460;32224;24845;17745;33797;24340;30272;31855;30446
Frynaudour;473876;22860;735;254;208;625;695;165;159;607
Gallargues-le-Montueux;775130;30660;17500;16323;8776;7596;6312;6156;5696;5207
Garches - Marnes-la-Coquette;382259;92380;1962296;1708430;932660;1891700;1835968;1791195;1713919;1797137
Gare routière de Forges d'Abel;672840;64490;0;0;0;14;15;152;18;174
Gauriaguet;491225;33240;60009;46806;39013;41321;31528;31982;25723;24319
Gemeaux;713842;21120;28695;21872;20015;22959;19944;22008;23194;20887
Gerzat;734046;63360;31906;24853;20688;27140;23326;28307;29640;29522
Gonfaron;755397;83590;34170;25694;17023;26393;21017;20367;20036;18252
Gourdon;613141;46300;130100;103255;75932;96737;84878;97678;97145;100610
Gragnague;615377;31380;26536;18035;16440;18618;13357;13242;13393;11090
Granville;447680;50400;346517;238620;183469;263943;209162;216105;212199;197782
Grenoble Universités - Gières;747402;38610;754594;549072;441245;715477;618398;669715;599039;606585
Guérard - La Celle-sur-Morin;116269;77580;72793;100298;52298;88140;84271;81222;76508;71847
Guéret;597609;23000;71942;55050;41808;79157;75117;87870;81869;83399
Guéthary;673459;64210;38627;30445;20561;27590;18887;21347;18830;18061
Guillerval;545129;91690;17002;13632;11258;20584;20628;20966;18296;18006
Guingamp;473207;22200;922076;694628;516936;704582;636523;635559;582013;591776
Haguenau;213058;67500;2027734;1647848;1316770;1734756;1646301;1662901;1573588;1594736
Halsou - Larressore;673640;64480;6740;3840;1462;223;7;28;15;13
Ham;313494;80400;175319;144889;94874;128871;122867;129850;123586;132877
Hatrize;192724;54800;501;182;286;1580;1705;1279;652;1601
